Store,Dept,IsHoliday,Size,Type,Date,Weekly_Sales
39,4,True,12653,A,2017-01-02,37180.28154301639
41,41,True,17848,C,2019-05-21,4439.199301502422
18,89,False,94339,A,2018-02-04,22164.36392240674
13,43,False,175814,C,2016-10-31,29354.548428052385
35,8,True,138273,A,2010-11-01,59787.29707238034
9,51,True,98880,C,2021-02-11,12542.837883355116
1,6,True,97276,A,2023-06-20,22400.201365493074
3,85,False,64786,A,2022-04-16,36869.86499370293
12,44,True,126290,C,2017-04-17,33938.44212570394
42,91,True,188769,C,2013-03-04,28052.095228102524
33,17,True,27885,A,2016-09-04,22222.470308038617
21,45,True,52228,A,2017-04-26,35567.4434996539
10,3,True,168424,B,2022-09-28,19130.926848757626
39,73,False,141674,A,2017-12-02,44751.270483557826
35,9,True,47684,C,2018-08-26,8407.164001194715
3,67,True,174290,B,2023-04-26,9937.906696072387
44,42,True,11649,C,2013-09-29,25517.06805681317
28,79,True,88322,B,2012-09-07,10032.288667674522
17,38,True,50461,B,2012-02-23,10587.120665489687
4,11,True,82314,C,2011-01-31,11024.06567277328
15,52,False,52166,A,2022-07-30,23903.09411261865
41,5,True,66087,B,2018-05-20,24305.676389798762
2,47,False,160866,B,2020-03-26,26069.786824903247
1,26,True,198926,B,2018-12-18,54297.061118037236
33,39,False,10536,B,2018-09-21,24347.993277584625
42,39,True,127610,C,2018-11-22,29510.002654100903
44,40,False,170988,C,2017-11-01,15585.089482112258
44,41,False,38902,C,2015-04-17,10780.091238227847
20,91,True,19623,A,2012-09-28,43660.9477784034
18,62,True,30859,A,2017-10-01,21228.841691324975
34,94,False,106135,C,2015-04-30,24845.730068808276
6,12,False,102291,B,2015-12-19,23732.77955775134
11,95,True,95975,A,2015-03-28,11298.922998218104
21,21,True,107983,C,2023-11-29,24024.31980681306
13,8,False,28299,A,2014-03-12,26690.628684694617
34,79,True,171662,B,2022-05-20,19181.05536474532
19,2,False,84598,A,2015-06-28,28183.926266587983
4,85,True,70522,B,2012-08-21,20173.258391340743
32,43,False,138296,B,2011-10-20,19718.48305330966
16,72,True,172720,C,2022-08-14,31095.398482737117
39,73,True,128160,C,2011-09-18,12155.222863617055
44,72,True,87415,A,2022-07-04,19893.305854603852
25,7,False,112599,B,2019-04-04,16817.74585765876
30,33,True,100558,B,2018-03-03,33741.73846076586
31,86,True,136366,A,2012-03-06,30765.221562879433
41,37,False,165404,C,2012-10-12,13250.161307353614
10,57,False,134545,C,2020-03-03,14373.887550439935
11,38,False,131099,C,2022-03-23,11452.283421458724
25,52,False,29220,A,2022-08-13,27496.675000004376
9,40,True,176560,C,2016-05-03,35423.45318659947
11,86,False,88543,A,2011-05-28,25971.976492656795
18,59,True,179205,B,2021-12-20,49380.78994163482
24,69,False,151136,A,2022-02-15,25931.007429896963
2,2,False,167141,A,2013-07-24,31026.894441297514
31,8,False,159006,B,2021-11-30,32951.0810598859
34,38,False,154402,C,2023-06-29,9501.44315223693
44,90,True,196678,B,2012-06-19,21779.722469431894
17,32,False,172480,B,2014-03-18,10678.11778423383
27,67,True,30362,B,2023-10-30,36366.187551087605
40,70,False,160426,A,2010-09-22,19469.29076833865
41,57,False,122672,B,2020-01-01,28602.52314268623
24,20,True,129237,B,2018-08-27,28247.906063943272
41,85,True,67961,A,2019-06-15,25665.178776413053
43,99,True,146696,C,2015-12-07,22941.408519569995
6,70,False,41872,B,2022-05-19,26411.824274952534
28,50,False,109189,A,2019-04-18,28318.002516639153
19,66,False,161515,C,2011-01-10,28954.434184664027
16,45,True,28321,A,2023-12-20,29688.221267512527
36,70,True,101443,B,2018-07-21,38936.216529942496
37,37,False,12819,B,2023-09-24,13608.085161060659
17,52,True,173982,B,2017-06-03,30500.172050079516
30,85,True,140531,C,2017-02-06,11602.7809920396
40,23,False,52106,A,2017-04-06,24519.73438193563
8,94,False,32812,C,2017-05-04,20345.990706861754
21,25,True,55668,B,2015-08-05,16195.005662861131
13,7,True,167721,B,2020-07-25,25508.451327438303
17,23,True,46855,B,2020-06-26,33506.72693959133
39,22,False,149932,B,2019-08-30,19686.65316429585
17,89,False,45504,B,2019-10-20,12999.416117095445
29,32,True,107399,A,2022-11-13,28806.321221935
40,21,True,91994,A,2017-03-07,39100.89099206797
11,66,True,126858,C,2019-06-20,35549.291557213706
36,5,True,97749,A,2023-09-08,15981.162979981153
16,47,False,163761,A,2014-07-08,14129.95826167795
31,52,True,81276,B,2010-08-30,21602.623811868158
12,42,True,16679,B,2021-01-01,9587.543381006082
38,48,False,19466,A,2010-09-10,33175.60081665911
21,50,True,195663,B,2010-10-17,28452.033144039317
42,6,True,46031,A,2017-04-09,29536.033484657848
20,15,False,119208,C,2016-06-20,24648.217560284844
30,13,True,139794,A,2017-12-17,44948.27300311612
11,6,True,44639,C,2023-01-17,34463.34190814328
17,40,False,48598,B,2010-10-26,19416.499417415256
5,19,True,40510,B,2018-05-11,8276.522105482381
34,20,False,193401,C,2013-02-15,10515.208638608907
2,41,False,54878,B,2019-06-22,21202.940722417796
40,95,False,45715,A,2011-01-18,16372.910347514302
9,60,False,186517,C,2018-10-01,16130.78228725372
39,38,False,74067,C,2017-02-12,25412.660786588756
41,79,True,45767,A,2014-05-14,18322.361060883704
19,89,False,114848,A,2016-07-11,38080.36240351322
25,66,True,86944,B,2018-12-17,46578.3231951268
39,1,True,111104,C,2018-03-19,21893.44281517908
16,21,False,105724,C,2010-02-07,23426.98029709938
24,95,True,87981,C,2011-02-25,7972.4926486746845
17,7,False,75600,A,2013-07-22,12922.807341621607
39,26,True,120367,B,2011-01-23,24234.17490819346
7,92,False,58194,C,2019-06-24,18029.139486310523
32,9,False,168322,A,2021-04-28,14613.166944882863
43,21,False,54337,A,2020-10-11,32509.796568144662
39,12,False,111121,C,2016-07-26,11160.107588328192
28,57,True,178076,A,2010-02-11,39989.49007945179
9,28,True,92914,A,2013-12-25,47035.98236165085
19,70,True,22965,C,2023-02-01,24799.72514952611
5,35,True,114383,B,2021-05-31,36896.13167625558
25,49,False,191898,C,2019-11-24,32405.07175711986
36,63,False,79791,A,2013-10-19,32921.255542575374
2,14,False,15993,C,2021-02-23,5229.790458940889
27,94,True,142835,A,2021-06-08,33613.23472172769
22,83,False,146412,A,2023-09-23,17829.18773664456
23,25,False,162628,B,2012-05-10,20243.420366315055
2,95,False,24523,B,2020-09-23,27495.153842036598
42,41,True,36286,B,2015-03-26,17648.892345592318
25,43,True,151318,B,2018-09-11,18214.6204896766
36,38,False,74747,C,2020-05-22,17060.05305612411
24,54,False,54774,B,2019-10-18,24108.503092696912
33,62,False,50706,C,2012-09-03,16212.385303134835
41,80,True,156842,B,2012-11-08,40459.9434685178
35,97,False,30256,B,2021-04-05,11762.31359562257
43,19,False,65729,B,2021-03-30,25802.87444094939
8,32,False,72833,B,2021-10-30,8822.032866401405
32,29,True,199097,B,2015-03-02,20268.198313356905
39,22,False,84910,C,2010-04-17,20534.43083707875
25,84,True,111606,B,2015-08-06,22982.540011366524
10,50,False,83044,B,2012-11-07,7334.605299472824
19,90,True,106062,A,2011-10-27,15019.378821533714
19,90,False,10392,C,2017-08-16,20437.696657348828
2,55,False,60543,A,2011-02-21,14273.416933773557
28,69,True,102545,A,2016-10-07,20934.145590932436
14,9,True,35233,A,2021-03-12,30045.75296839359
8,40,True,27238,A,2015-05-10,28863.38510302731
24,97,False,181078,A,2019-10-22,21675.81169682003
24,87,False,47321,A,2011-11-07,25137.78234893806
7,90,False,27091,C,2019-10-31,9530.88510090025
9,71,False,184587,C,2010-03-14,30505.15237856333
30,43,True,147221,B,2022-12-25,39630.44871723097
5,33,False,133640,B,2021-02-11,31072.32074246957
11,24,False,173285,A,2010-06-03,13922.731096954065
2,52,True,74414,A,2014-10-27,19247.57860857319
32,19,False,179604,A,2013-08-12,34494.521830498255
43,91,False,10376,A,2023-05-09,17726.543617893407
5,90,False,178592,B,2020-01-10,10706.8583829327
34,95,True,51284,B,2020-09-24,14939.384413011361
43,40,False,66508,B,2018-09-24,23491.424764544485
33,45,True,60506,B,2011-10-23,19298.657866199537
8,71,True,64525,A,2020-11-27,11387.783796376862
45,69,True,13144,B,2015-10-17,6901.849457885202
31,55,True,43530,B,2013-02-14,19024.791751695127
18,13,False,32820,A,2013-11-12,30807.65966502062
1,70,False,134431,C,2023-02-10,23687.69657011283
33,64,False,125355,B,2022-02-13,22539.466140483702
29,17,True,53653,C,2016-01-20,28064.24250460875
26,63,True,70205,C,2022-11-16,23456.649884439383
11,88,True,177992,C,2020-04-22,33703.98075097593
43,96,True,180444,C,2022-03-26,32855.79459326758
38,13,False,118473,C,2022-08-01,26822.41289825816
42,4,False,92055,A,2016-08-16,12247.961034056105
18,76,False,20166,A,2017-07-13,39146.64255126739
28,55,True,88597,A,2012-10-04,37765.38630697075
37,91,True,34735,B,2020-06-11,17349.016279648033
10,29,True,39836,B,2022-11-30,32632.64694130638
17,40,True,64242,C,2012-04-06,14981.850753512785
23,50,True,192311,B,2021-01-28,43206.7740256729
29,79,False,107166,A,2017-01-29,21075.910578464092
20,8,False,50152,B,2015-12-27,8714.62032448827
20,49,True,150449,A,2013-06-09,42440.28660869455
45,27,True,153473,A,2012-03-24,29050.7487871689
29,22,True,118594,A,2022-04-30,25657.737367055044
28,99,True,103122,C,2021-12-22,27823.894937433208
43,67,False,58662,B,2012-05-02,16922.813864202755
23,16,False,12901,C,2022-04-21,15084.343934203425
7,22,True,18121,A,2015-01-23,25441.591434902795
36,24,False,97497,A,2017-11-07,40169.61924167238
14,26,False,63191,B,2019-05-31,24235.716086022214
27,36,True,139561,A,2022-08-05,14352.566731986575
25,45,False,95608,C,2010-06-22,23612.17026418595
29,8,False,133534,B,2020-05-04,19790.751353276326
41,36,False,96485,B,2013-02-24,27104.476622088732
7,26,False,49056,B,2015-09-27,17411.236117821627
12,38,True,198151,B,2016-07-20,41814.41016772591
29,69,True,150674,C,2012-06-20,22002.413644875676
4,18,True,148774,A,2020-05-08,41097.779751144015
26,14,True,72101,C,2021-02-26,28204.20973709721
12,2,False,116183,A,2022-07-11,19609.81211813264
11,34,True,48540,C,2015-09-25,9632.358831997533
40,76,False,71072,B,2011-07-12,34739.29451907236
4,46,False,188503,C,2010-04-07,25209.976637656247
42,47,False,94021,A,2017-01-13,33315.58192530284
29,87,False,15452,B,2016-03-09,22908.50904732641
6,82,True,180144,A,2018-07-04,18070.80464959463
42,39,False,47333,C,2020-04-07,19051.336338551282
25,10,True,79468,B,2020-02-19,36561.952160179055
27,59,False,185426,C,2019-12-26,22974.422629951867
8,73,True,174739,C,2018-03-06,19542.610201350555
18,43,True,122589,B,2014-11-27,40473.29574965117
16,29,False,139088,B,2012-06-18,27295.305074299486
32,53,True,137311,A,2010-09-04,1245.0775074569992
4,20,False,109834,A,2010-11-17,28177.316756214885
15,22,True,26584,C,2018-09-23,25195.420882588744
45,43,True,187760,B,2021-03-03,29800.373709686817
42,13,False,125968,A,2011-07-01,33354.51015989575
45,31,True,103473,C,2021-01-31,31324.299782847298
31,68,True,123768,C,2017-05-26,27138.742185718824
1,54,False,27408,B,2017-02-04,32169.4409008432
24,35,True,176757,A,2013-11-20,58236.52015532598
3,70,False,45894,B,2013-01-23,13258.027649689091
13,67,True,118307,A,2016-08-13,26414.942811468223
35,39,True,44028,C,2023-03-11,13170.285713397321
45,50,False,113029,B,2010-12-08,36674.07904118371
31,48,True,79687,A,2012-03-24,43397.7765557509
32,73,False,62494,C,2015-12-26,21757.73081532717
1,19,False,67403,A,2013-10-11,19340.34612539992
11,83,False,190668,A,2017-01-05,29447.396171729783
30,40,True,190493,B,2010-03-24,20968.842116121392
2,10,True,55346,B,2013-09-22,19367.15145138155
41,61,False,128533,B,2011-01-11,15349.625908971153
32,21,False,39175,A,2012-02-13,33718.46906826098
13,10,False,53887,A,2016-07-15,14528.493234926125
30,78,False,121984,C,2021-05-28,19553.509297441487
3,89,False,168442,A,2015-10-09,31943.658877878344
6,67,False,64942,B,2012-08-21,28388.055578296062
8,94,False,32823,B,2023-08-23,10834.29822285114
35,82,False,182754,B,2023-06-14,26868.001800257724
8,18,True,60149,C,2015-01-16,7209.064229499752
32,1,False,160011,B,2015-02-07,12517.278984211096
1,49,False,25220,A,2012-12-02,26164.01149044615
26,56,False,199468,C,2015-01-24,19548.20556923137
27,14,False,94010,C,2011-02-04,12810.874973906566
20,66,False,184643,C,2023-05-20,33015.631270039885
21,12,False,116526,A,2019-10-21,26636.005872625406
21,55,True,81225,C,2011-01-11,31943.23636837331
11,64,True,34525,B,2014-12-01,48827.03734960773
35,94,True,108412,C,2010-05-15,9903.626586466537
38,89,True,154686,C,2016-01-02,10191.414548451085
21,10,True,85496,B,2012-07-12,31306.15547124664
29,88,True,72800,A,2012-11-14,21208.900668366947
31,21,True,81578,A,2017-10-18,8583.466605908608
21,72,True,196074,A,2021-04-19,47617.14026129739
9,57,False,181606,B,2021-07-14,21601.16087784034
24,13,False,90119,A,2019-06-25,32262.546997059027
40,71,True,185346,A,2020-05-20,23374.308480996155
42,10,True,36246,A,2023-10-29,20546.871838760777
26,99,False,59547,C,2016-08-04,10888.01010992172
30,82,False,45911,C,2014-09-25,26199.996419228853
42,59,True,113241,A,2014-06-28,16803.377839606786
3,93,True,155398,C,2013-04-19,25047.446638048783
34,92,False,178101,C,2014-10-21,29152.960429296214
16,99,False,165995,C,2014-04-18,22394.340349999005
4,39,False,126050,C,2019-09-10,22441.270337721067
24,8,True,82491,B,2014-02-27,35753.37948634707
38,80,True,178948,C,2021-12-24,42046.345235450084
8,58,False,41498,A,2016-01-24,32446.329952789933
29,95,False,194676,A,2018-03-04,28721.71460507393
3,21,False,45525,B,2019-11-26,14656.128297853003
18,55,False,170942,B,2012-03-10,12628.642290877819
38,58,True,100257,A,2010-04-22,23928.682423161667
15,26,True,51915,B,2015-08-07,6200.243585946568
21,16,True,32316,C,2015-02-20,22072.660709322063
39,28,False,108485,B,2019-11-10,17079.053820927624
10,62,False,54602,C,2011-02-03,25649.551279981162
10,44,False,10861,C,2020-03-25,10252.349005981083
4,31,True,47357,C,2020-01-10,9750.534222100749
13,40,True,43620,C,2011-11-21,29527.350838314607
26,4,True,194104,B,2013-04-07,9150.547394199679
7,92,False,111458,C,2019-10-05,6313.80880146569
10,78,False,139082,B,2017-07-22,26788.09762242903
30,94,False,180163,C,2015-04-17,11588.347164115365
29,67,True,93867,A,2010-03-18,31706.4166126436
29,57,False,198694,A,2020-03-03,21702.487648386064
30,54,True,30155,A,2021-02-19,19664.708475142885
18,98,True,14548,B,2022-09-13,24969.64795027821
18,15,True,172472,B,2014-01-14,33632.85870131979
20,11,False,111553,B,2023-11-28,28111.485306557628
16,56,True,141888,B,2016-10-17,34136.90611848494
4,97,False,196520,A,2017-07-09,33524.0574766338
38,79,False,86171,A,2015-11-16,15284.68246502964
5,67,True,41296,B,2016-12-17,24769.431528150173
36,6,True,84042,C,2018-06-05,17395.981669834124
20,69,True,84688,C,2023-08-20,11861.190844171202
41,83,True,47550,C,2021-05-13,28356.697761019383
43,22,True,199044,A,2018-03-15,17073.144012579618
20,35,True,135215,B,2012-02-02,38264.344677992536
1,40,False,96149,C,2010-10-25,20918.251051062864
6,61,False,125355,B,2022-11-15,38047.60784547466
5,77,True,18811,C,2015-01-22,12066.477769787352
13,15,False,66023,A,2020-04-20,15718.981963894617
23,72,True,18000,B,2017-12-20,41351.11580021803
36,72,False,151425,B,2017-09-05,11549.734393198472
23,6,True,183805,B,2019-04-17,23226.063854597727
22,13,True,114575,B,2021-09-09,17173.778638181433
36,17,True,14205,B,2018-10-15,5208.9971447375965
42,49,True,39727,A,2010-07-06,12028.312078744822
13,30,True,76440,B,2011-02-12,22273.750972795573
31,12,False,173641,B,2011-09-29,28400.393027701073
30,42,False,129534,A,2019-07-16,37745.60502702701
23,42,False,50092,B,2015-07-03,21903.202805881752
3,12,False,122371,B,2015-05-11,27888.222742167236
21,42,True,89418,C,2012-01-02,33159.20576627138
19,70,False,25037,A,2019-06-12,28418.295713253105
31,81,True,57422,B,2012-10-20,24988.721128317862
4,71,False,36999,B,2010-02-22,27673.80834953954
25,91,True,51005,A,2010-05-11,30275.17728194187
37,8,False,30019,A,2022-02-02,15414.49311701693
3,22,False,17127,C,2020-07-04,25332.509291830924
45,1,False,172046,A,2019-01-24,16338.732527112528
16,27,True,187825,B,2014-09-10,18369.057540664286
21,52,True,62527,C,2019-09-29,23456.239872821952
2,1,False,131284,C,2019-04-02,20827.87694790583
16,61,True,39201,C,2012-07-11,20566.30001658643
4,56,False,169142,A,2023-03-23,18560.781646237483
40,30,False,157566,B,2018-02-03,14557.90941674581
41,89,True,120139,A,2014-08-28,22059.90001704178
28,31,False,156872,C,2022-01-31,26424.103098397547
7,17,False,169162,C,2014-07-29,40539.21301281665
13,27,False,170826,C,2017-08-04,13661.10970376331
10,15,False,12176,A,2016-06-24,11332.83830608751
7,2,True,88608,A,2021-05-21,42054.36233625277
45,93,True,165068,C,2019-06-25,21258.510085875176
31,42,True,92702,B,2010-12-27,38881.89757303454
29,19,False,117362,C,2010-10-18,25626.660141637636
1,61,True,169519,B,2016-12-05,24604.90268659555
9,59,True,59527,B,2021-04-18,37305.11807073144
21,41,True,42368,B,2013-08-21,36793.43514853706
34,42,False,168913,B,2015-06-04,19860.48830514334
42,11,False,35026,C,2021-09-28,9780.082421942121
43,75,True,15782,C,2021-03-10,16362.108469231249
36,33,True,167468,A,2011-04-16,35028.9633134958
2,17,False,65994,A,2011-11-26,45857.03330309902
1,23,False,169523,B,2017-06-02,14303.918635369944
31,27,True,58345,B,2013-03-28,13092.48939358158
39,2,False,19785,C,2015-07-17,15579.445456084302
33,5,False,156342,B,2021-05-16,28844.725134076623
43,77,False,128653,C,2020-02-11,9338.747386548283
37,44,False,121507,C,2011-05-25,20498.31282602089
30,40,True,196049,B,2015-05-26,24008.590044596294
14,34,True,38725,A,2010-12-15,57657.976907480945
5,38,False,178925,B,2014-05-05,25933.20800590929
17,84,True,136720,B,2010-02-01,20765.07880431481
16,34,True,40282,B,2011-04-22,11485.32638773134
17,90,True,75992,A,2022-04-20,40135.056118192806
29,73,True,177036,C,2023-05-05,29681.25710429482
38,7,False,143037,A,2014-09-05,17171.8669105663
7,65,True,97216,C,2021-02-10,11369.67288587593
17,4,False,101331,B,2013-11-27,30978.515544539463
33,24,True,80863,C,2013-04-07,24741.621729599916
11,77,True,157632,B,2023-12-25,50144.81116760699
10,77,True,143436,A,2022-07-01,48494.83442135089
34,21,True,84188,B,2023-04-01,16910.433518416838
2,7,True,189405,C,2020-11-08,39740.109283693426
33,72,True,125492,C,2013-09-24,9260.215271493622
22,28,True,76474,A,2014-01-09,37168.16552174923
31,71,False,127863,B,2021-06-11,9954.83462466738
24,28,True,177714,A,2013-12-22,65435.64302740526
25,22,False,172997,B,2017-12-09,39098.25560194437
35,5,True,119108,C,2015-04-12,19275.71495831222
25,54,False,108709,C,2019-09-26,5277.214379738948
35,2,False,123425,C,2015-03-31,27794.56197879485
8,71,False,181213,C,2021-09-06,11256.937782310482
6,12,True,117058,C,2019-10-08,21942.22553180605
42,73,True,27060,B,2012-01-21,28066.72571618118
29,29,False,54395,A,2011-02-11,31314.124989559255
6,75,True,122330,A,2014-10-03,29648.06231674129
16,88,True,146587,B,2011-07-26,41523.19203488397
9,20,False,121969,C,2015-03-13,23620.169637446023
3,89,True,64368,A,2012-02-05,20806.084386319453
7,16,False,48735,C,2012-02-20,11589.482915142475
33,51,False,130936,C,2021-11-15,33125.64458354484
8,76,True,89366,B,2023-08-19,16172.54348258759
30,32,True,98717,A,2016-06-04,12088.538184940078
27,68,False,65693,B,2023-09-02,4482.49381021275
39,66,False,173137,B,2012-01-17,29241.21006820631
6,13,False,44388,B,2018-09-22,15355.371518826272
18,73,False,145994,A,2017-07-26,26838.4457393704
15,48,False,173143,B,2018-05-11,29555.963423426998
7,20,True,58218,A,2013-04-12,21777.234881631935
11,37,True,107420,B,2014-10-05,14029.592715555975
3,49,False,61315,B,2013-06-11,21201.554600327203
25,3,True,105121,A,2014-10-19,37342.47432151249
2,30,True,84347,C,2011-11-17,30509.232932211096
37,72,False,31289,C,2013-08-19,14342.881668152624
23,43,False,188789,C,2023-09-15,24411.855330836413
16,66,True,105505,C,2010-02-17,32055.809806296136
21,34,True,72607,A,2021-02-10,27943.33624703525
33,41,True,130984,A,2017-11-25,55932.69282864967
1,84,True,78195,B,2014-08-19,16912.92301584856
5,55,True,112545,A,2021-07-09,23796.69125787196
37,78,True,133983,A,2021-02-14,28036.003911320506
43,71,True,167872,B,2023-06-10,32421.413240081325
4,8,False,183900,A,2012-01-14,37395.562076808696
24,95,True,113990,A,2022-06-08,28224.79005058162
14,51,True,154348,B,2015-01-09,20810.628943009993
1,40,True,25531,B,2018-09-19,34348.321509201916
33,95,True,117777,C,2022-08-15,36858.07284724241
42,86,True,142702,C,2013-01-29,25122.087707406703
37,33,False,96754,A,2018-01-25,18251.802465506593
3,76,True,29716,C,2013-04-10,29207.19988824857
22,80,True,42802,A,2022-04-29,43111.82951063749
1,10,False,83617,A,2012-08-08,24620.17610188171
31,88,False,71117,B,2011-02-19,21665.457513179845
24,64,False,172188,C,2020-06-26,16901.073431930934
27,20,True,105527,A,2023-10-20,18292.61968927275
25,21,True,52106,C,2011-02-10,9435.748491353319
25,40,True,138962,C,2013-12-02,45601.73687872255
39,50,False,41045,C,2010-03-04,22956.88219422243
1,20,True,121368,A,2010-03-31,12581.555747665505
18,63,False,196499,C,2014-05-22,16933.687634321544
22,77,False,54720,A,2010-07-28,36855.792271798455
4,32,False,36007,A,2018-05-09,32533.069421343935
12,64,True,40418,A,2013-12-20,54440.15755233464
8,46,False,192406,B,2016-02-16,23961.186931170407
1,12,False,110166,C,2021-01-03,14620.092031856208
18,4,True,84017,A,2019-12-04,64023.53727007098
45,37,False,66351,B,2012-06-24,27566.389402665198
30,12,False,143957,C,2022-10-09,21892.382605020743
21,49,True,39705,B,2014-07-12,7243.87669932202
41,54,False,179191,B,2013-07-08,26939.347495009384
14,35,False,147037,A,2016-07-04,25380.180152458433
31,51,False,193884,B,2023-03-03,34804.382358388895
35,39,True,77225,A,2014-04-20,41752.112047664545
33,82,True,130354,A,2020-08-18,41660.55724983956
19,73,True,52723,C,2015-09-02,10125.225952320863
37,66,False,83948,C,2022-04-07,29827.699779942974
17,48,False,168230,C,2010-02-12,30671.51794021936
27,98,False,65963,A,2019-12-15,38520.78133360756
38,23,True,190400,C,2014-02-20,24291.26309178486
34,18,True,141661,B,2011-04-05,23206.799086369287
2,78,True,81254,C,2011-09-22,8990.775900560266
24,36,False,58638,A,2023-03-03,18085.504405270287
12,65,False,169598,C,2014-06-18,29345.173032763734
36,80,True,95397,C,2019-01-14,35863.71341695885
25,50,False,114247,C,2010-06-12,19649.536937490466
36,21,False,154023,A,2015-11-19,29057.140860699517
19,54,True,77653,A,2014-10-15,8945.39759010111
32,50,True,12611,C,2017-09-04,11246.083882363051
2,85,True,22841,B,2016-12-21,48048.87739938737
21,38,False,179061,C,2012-11-20,17579.079994876513
21,39,False,176810,B,2015-01-31,20599.59225682333
8,64,True,10760,C,2014-05-19,9183.039988455332
45,2,True,181219,B,2013-07-09,27321.500022779164
